heure	A_mtime	A_somme	B_mtime	B_somme	charge	conteneurs
22:58:00	1788107970	147883352357	1788117295	147886450940	4.50	7
22:58:06	1788107970	147883352357	1788117295	147886450940	4.70	7
22:58:11	1788107970	147883352357	1788117295	147886450940	4.97	7
22:58:16	1788107970	147883352357	1788117295	147886450940	5.13	7
22:58:21	1788107970	147883352357	1788117295	147886450940	5.40	7
22:58:26	1788107970	147883352357	1788117295	147886450940	5.53	7
22:58:31	1788107970	147883352357	1788117295	147886450940	5.49	7
22:58:37	1788107970	147883352357	1788117295	147886450940	5.53	7
22:58:42	1788107970	147883352357	1788117295	147886450940	5.41	7
22:58:47	1788107970	147883352357	1788117295	147886450940	5.37	7
22:58:52	1788107970	147883352357	1788117295	147886450940	5.34	7
22:58:57	1788107970	147883352357	1788117295	147886450940	5.40	7
22:59:03	1788107970	147883352357	1788117295	147886450940	5.12	7
22:59:08	1788107970	147883352357	1788117295	147886450940	4.95	7
22:59:13	1788107970	147883352357	1788117295	147886450940	4.80	7
22:59:18	1788107970	147883352357	1788117295	147886450940	5.21	7
22:59:23	1788107970	147883352357	1788117295	147886450940	5.20	7
22:59:29	1788107970	147883352357	1788117295	147886450940	5.18	7
22:59:34	1788107970	147883352357	1788117295	147886450940	5.01	7
22:59:39	1788107970	147883352357	1788117295	147886450940	5.09	7
22:59:44	1788107970	147883352357	1788117295	147886450940	5.16	7
22:59:49	1788107970	147883352357	1788117295	147886450940	5.23	7
22:59:55	1788107970	147883352357	1788117295	147886450940	5.21	7
23:00:00	1788107970	147883352357	1788117295	147886450940	5.19	7
23:00:05	1788107970	147883352357	1788117295	147886450940	5.10	7
23:00:10	1788107970	147883352357	1788117295	147886450940	4.85	7
23:00:15	1788107970	147883352357	1788117295	147886450940	4.78	7
23:00:21	1788107970	147883352357	1788117295	147886450940	4.80	7
23:00:26	1788107970	147883352357	1788117295	147886450940	4.81	7
23:00:31	1788107970	147883352357	1788117295	147886450940	4.59	7
23:00:36	1788107970	147883352357	1788117295	147886450940	4.58	7
23:00:41	1788107970	147883352357	1788117295	147886450940	4.53	7
23:00:46	1788107970	147883352357	1788117295	147886450940	4.65	7
